iter	Logloss
0	0.6806499668
1	0.6691704212
2	0.6595221626
3	0.649289109
4	0.6408129416
5	0.6327023991
6	0.6251727242
7	0.6181558402
8	0.6117765728
9	0.6061560157
10	0.6003940823
11	0.5948899737
12	0.5900946844
13	0.5870218436
14	0.583002302
15	0.5792681677
16	0.5756125809
17	0.5717252571
18	0.5695428431
19	0.5661507741
20	0.5635718874
21	0.5608714223
22	0.5583606407
23	0.5562594841
24	0.5552471293
25	0.5540829677
26	0.5520520895
27	0.5506142908
28	0.5487595645
29	0.5470732459
30	0.5455774754
31	0.5449329653
32	0.5434789306
33	0.5425537143
34	0.5415853706
35	0.5407928108
36	0.5402003272
37	0.5389614856
38	0.537998687
39	0.5369842641
40	0.5361893835
41	0.5355695077
42	0.5349088309
43	0.5343967577
44	0.5337720578
45	0.5327497746
46	0.5322312426
47	0.5314758662
48	0.5307713234
49	0.5303589504
50	0.5296506176
51	0.5295634093
52	0.5290346143
53	0.5286954311
54	0.5278963423
55	0.5273627949
56	0.5270861908
57	0.5267909995
58	0.5262360648
59	0.5260084975
60	0.5254864843
61	0.5251769982
62	0.5249634596
63	0.5246038173
64	0.5244551268
65	0.524008888
66	0.5237431328
67	0.523455986
68	0.5231327695
69	0.5228342868
70	0.5226232043
71	0.5220200794
72	0.5216754379
73	0.520887578
74	0.5204672881
75	0.5203173788
76	0.5200520195
77	0.5198356086
78	0.5195884126
79	0.5194247035
80	0.5192039745
81	0.518956362
82	0.5188020736
83	0.5185795072
84	0.5182018951
85	0.5179665031
86	0.5178145521
87	0.5175447189
88	0.5171871265
89	0.5169845131
90	0.5167358739
91	0.5166207797
92	0.5164245254
93	0.5164124661
94	0.5160442323
95	0.5159686744
96	0.5158744849
97	0.5156176736
98	0.5154702893
99	0.5153913969
100	0.5151197792
101	0.5150223726
102	0.5147927759
103	0.5146281781
104	0.5144506958
105	0.5143421405
106	0.5140127103
107	0.5139012681
108	0.5138198702
109	0.5135865466
110	0.5134633284
111	0.5133929665
112	0.5131772881
113	0.5130572535
114	0.5129688581
115	0.512822935
116	0.5124564941
117	0.5123659833
118	0.5122409331
119	0.5120744558
120	0.5120146793
121	0.5119008934
122	0.5117562905
123	0.5116470887
124	0.5115080985
125	0.5113723481
126	0.5112433171
127	0.5110882891
128	0.5109698197
129	0.5107310104
130	0.5106470596
131	0.5105746071
132	0.5104932418
133	0.5103974716
134	0.5102572113
135	0.5101570087
136	0.5100463583
137	0.5098788204
138	0.5098181149
139	0.5097071507
140	0.5095864767
141	0.5094343789
142	0.5093127419
143	0.5092119074
144	0.5091491923
145	0.5090596815
146	0.5088823771
147	0.5088153039
148	0.5087119657
149	0.5086377215
150	0.5085268846
151	0.5084375767
152	0.5083132989
153	0.5082463837
154	0.5081483787
155	0.5078931434
156	0.507770224
157	0.5077241367
158	0.5076104615
159	0.50748321
160	0.5074189508
161	0.5073762147
162	0.5072665435
163	0.5071878374
164	0.5070445503
165	0.5069422368
166	0.5068439229
167	0.506733498
168	0.5066474993
169	0.5065743001
170	0.5065045397
171	0.5063993045
172	0.5063273498
173	0.5062318432
174	0.5061716716
175	0.5056178599
176	0.5055437296
177	0.5054312777
178	0.5053441307
179	0.505248967
180	0.5051648923
181	0.5050991638
182	0.504986146
183	0.5049154563
184	0.504785173
185	0.5047297925
186	0.5046008578
187	0.5045129469
188	0.504403978
189	0.5043400854
