iter	Passed	Remaining
0	8	8577
1	16	8313
2	25	8408
3	33	8354
4	41	8327
5	50	8342
6	58	8275
7	66	8206
8	74	8250
9	82	8201
10	91	8205
11	98	8140
12	106	8092
13	112	7929
14	120	7888
15	126	7802
16	133	7725
17	140	7660
18	146	7583
19	153	7530
20	160	7481
21	167	7448
22	174	7394
23	180	7344
24	185	7221
25	191	7175
26	197	7126
27	204	7097
28	211	7074
29	218	7054
30	224	7020
31	231	6988
32	237	6959
33	244	6936
34	251	6924
35	258	6921
36	265	6900
37	271	6872
38	277	6845
39	284	6832
40	291	6816
41	298	6806
42	305	6790
43	311	6772
44	318	6754
45	325	6756
46	332	6744
47	339	6731
48	346	6720
49	352	6701
50	359	6685
51	363	6623
52	370	6617
53	377	6611
54	384	6610
55	392	6614
56	400	6630
57	408	6640
58	415	6631
59	424	6647
60	432	6658
61	440	6671
62	448	6671
63	455	6666
64	463	6662
65	469	6649
66	478	6657
67	486	6665
68	494	6668
69	502	6672
70	510	6673
71	518	6682
72	526	6690
73	534	6692
74	542	6694
75	550	6687
76	557	6676
77	564	6668
78	570	6656
79	577	6644
80	584	6636
81	591	6625
82	598	6610
83	605	6598
84	612	6592
85	619	6581
86	625	6568
87	632	6556
88	639	6545
89	646	6531
90	652	6516
91	658	6500
92	665	6487
93	670	6457
94	676	6443
95	682	6427
96	688	6413
97	694	6396
98	701	6385
99	707	6371
100	714	6359
101	721	6348
102	727	6334
103	734	6330
104	741	6320
105	748	6309
106	754	6296
107	760	6284
108	767	6272
109	773	6259
110	780	6249
111	787	6241
112	794	6232
113	800	6222
114	807	6213
115	814	6203
116	820	6193
117	827	6184
118	834	6180
119	841	6169
120	847	6157
121	854	6149
122	860	6138
123	867	6129
124	874	6119
125	880	6108
126	887	6098
127	893	6087
128	900	6077
129	906	6067
130	913	6056
131	919	6046
132	926	6037
133	933	6031
134	939	6021
135	947	6020
136	954	6011
137	961	6004
138	967	5993
139	974	5985
140	981	5977
141	988	5973
142	995	5966
143	1001	5956
144	1008	5946
145	1014	5936
146	1021	5927
147	1028	5919
148	1035	5913
149	1042	5906
150	1049	5898
151	1056	5892
152	1063	5887
153	1070	5882
154	1078	5878
155	1085	5875
156	1092	5868
157	1100	5866
158	1108	5860
159	1115	5856
160	1123	5853
161	1131	5854
162	1139	5851
163	1147	5847
164	1154	5843
165	1162	5840
166	1170	5838
167	1178	5834
168	1186	5832
169	1193	5826
170	1200	5819
171	1208	5816
172	1215	5810
173	1223	5806
174	1231	5805
175	1239	5801
176	1245	5791
177	1252	5781
178	1258	5772
179	1265	5763
180	1271	5753
181	1277	5742
182	1284	5733
183	1290	5724
184	1297	5716
185	1303	5706
186	1310	5697
187	1316	5687
188	1323	5678
189	1329	5669
190	1336	5660
191	1343	5652
192	1350	5644
193	1356	5637
194	1363	5627
195	1367	5607
196	1373	5599
197	1380	5590
198	1386	5581
199	1393	5572
200	1399	5563
201	1405	5554
202	1412	5544
203	1419	5537
204	1425	5529
205	1432	5521
206	1439	5514
207	1446	5506
208	1453	5502
209	1461	5497
210	1469	5494
211	1477	5490
212	1484	5486
213	1492	5483
214	1501	5482
215	1508	5477
216	1516	5472
217	1524	5469
218	1533	5467
219	1541	5463
220	1549	5460
221	1556	5454
222	1563	5448
223	1571	5443
224	1579	5439
225	1586	5434
226	1594	5428
227	1602	5424
228	1609	5419
229	1616	5412
230	1623	5405
231	1630	5397
232	1638	5392
233	1644	5384
234	1651	5375
235	1657	5366
236	1664	5359
237	1671	5351
238	1678	5344
239	1684	5335
240	1691	5326
241	1698	5320
242	1705	5312
243	1712	5304
244	1718	5296
245	1725	5288
246	1732	5280
247	1738	5272
248	1745	5264
249	1751	5255
250	1758	5246
251	1764	5238
252	1770	5228
253	1777	5220
254	1784	5212
255	1791	5205
256	1797	5197
257	1804	5189
258	1811	5181
259	1817	5174
260	1826	5170
261	1833	5165
262	1841	5160
263	1849	5155
264	1856	5149
265	1864	5143
266	1871	5138
267	1880	5136
268	1888	5131
269	1895	5124
270	1902	5117
271	1908	5108
272	1915	5101
273	1922	5093
274	1929	5086
275	1935	5078
276	1942	5070
277	1949	5062
278	1955	5054
279	1962	5045
280	1969	5038
281	1975	5030
282	1982	5022
283	1988	5014
284	1995	5005
285	2002	4998
286	2008	4989
287	2015	4983
288	2023	4977
289	2029	4969
290	2037	4963
291	2044	4956
292	2050	4948
293	2056	4939
294	2064	4932
295	2070	4924
296	2077	4917
297	2084	4910
298	2091	4903
299	2098	4895
300	2104	4886
301	2110	4878
302	2117	4870
303	2124	4863
304	2130	4855
305	2137	4847
306	2144	4840
307	2151	4832
308	2157	4825
309	2164	4816
